StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q113,Q114,ERK,DBK,BTK,RFK,BTK_1,BTK_2,BTK_3,BTK_4,BTK_5,RPK_1,RPK_2,RPK_3,RPK_4,RPK_5,Signal,Voyager Description,Q121_First Click,Q121_Last Click,Q121_Page Submit,Q121_Click Count,VB_C1,VB_C2,VB_C3,VB_C4,VB_C5,VB_C6,VB_C7,VB_C8,VB_C9,VB_C10,VB_C11,VB_C12,Q122_First Click,Q122_Last Click,Q122_Page Submit,Q122_Click Count,VB_P1,VB_P2,VB_P3,VB_P4,VB_P5,Cloze test timer_First Click,Cloze test timer_Last Click,Cloze test timer_Page Submit,Cloze test timer_Click Count,Q86,Q107_4,Q117_4,Q116_4,Q108_1,Q109_1,Q110_4,Q123_First Click,Q123_Last Click,Q123_Page Submit,Q123_Click Count,FAC_1,FAC_2,FAC_3,FAC_4,FAC_5,FAC_6,FAC_7,FAC_8,FAC_9,FAC_10,FAC_11,FAC_12,Q124_First Click,Q124_Last Click,Q124_Page Submit,Q124_Click Count,FE_P1,FE_P2,FE_P3,FE_P4,FE_P5,Cloze test timer_First Click,Cloze test timer_Last Click,Cloze test timer_Page Submit,Cloze test timer_Click Count,Q88,Q95_1,Q115_1,Q96_1,Q97_1,Q98_1,Q99_1,Understand1,Understand2,Use1,Use2R,Load1,ENG1,ENG2,ENG3,VB_P2 - Parent Topics,VB_P2 - Topics,FL_87_DO,FL_72_DO,FL_81_DO
2021-07-30 13:09:48,2021-07-30 13:12:11,Survey Preview,,100,142,True,2021-07-30 13:12:11,R_1nNJpxVTws2Db26,,,,,51.5886993408203125,4.9922027587890625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaa;bbb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qqq;www;rrr;ttt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,FL_81|FL_72,FL_51|FL_66,FL_59|FL_75
2021-08-02 04:51:33,2021-08-02 04:52:14,Survey Preview,,100,41,True,2021-08-02 04:52:16,R_1LMWi3owHERgxey,,,,,51.5330047607421875,5.0509033203125,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,FL_72,FL_51|FL_66,
2021-08-02 04:53:26,2021-08-02 04:54:02,Survey Preview,,100,36,True,2021-08-02 04:54:03,R_2TTPqiS4sOSXGxf,,,,,51.5330047607421875,5.0509033203125,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,FL_81,,FL_75|FL_59
2021-07-30 05:14:42,2021-07-30 05:25:49,IP Address,84.24.198.96,1,667,False,2021-08-06 05:25:51,R_9mCRADOHz4qsPBL,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-11 10:05:06,2021-08-11 10:06:23,Survey Preview,,100,77,True,2021-08-11 10:06:24,R_2s6DLubs4knYt6m,,,,,51.577392578125,5.1909027099609375,preview,EN,,,,,,,,,,,,,,,,,,Read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,8,,5,,,,,,,,,,,,,,FL_81,,FL_59|FL_75
2021-08-13 00:44:56,2021-08-13 00:56:15,Survey Preview,,100,679,True,2021-08-13 00:56:16,R_DhNTJ84UMbZc19L,,,,,52.3661956787109375,5.195098876953125,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,FL_81,,FL_75|FL_59
2021-08-13 01:01:03,2021-08-13 01:03:03,Survey Preview,,100,119,True,2021-08-13 01:03:04,R_eqYu5ICs3z093u9,,,,,52.3661956787109375,5.195098876953125,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,FL_72,FL_66|FL_51,
2021-08-15 06:23:29,2021-08-15 06:25:26,Survey Preview,,100,116,True,2021-08-15 06:25:27,R_yr0SMPmxxB0ebn3,,,,,51.5522003173828125,5.0973968505859375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,FL_81,,FL_59|FL_75
2021-08-17 06:09:58,2021-08-17 08:20:15,Survey Preview,,100,7816,True,2021-08-17 08:20:16,R_1OPjP482WTV5xV6,,,,,51.587799072265625,5.07879638671875,preview,EN,,,No,Somewhat high,Very low,Very Low,Yes,No,No,Yes,No,No,No,No,No,No,,Read,,,,,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,,,,,"No route segment available, no busses available, not enough drivers","Broke down on the way there, on a trip.","Too many reservations, someone boarded the bus without saying anything, one seat is missing, different (smaller) bus than anticipated","Special trip is cancelled, not enough busses, driver is absent","They need to hire more drivers, they need to come up with more routes",,,,,trips;events;passengers;several;reservation;boarding;empty;reservation;boarding;all;Telephone;All;start;logged;route;number;daily;every;town;special;trip;Every;trip;employee;recorded;absent;absent;absence;absence;absent;reasons;number;description;buses;Buses;use;maintenance;maintenance;problem;description;experienced;average;problems;maintenance;recorded;,,,,7,7,,,,,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,,"No mechanics available, no parts available/no manufactures available, no skilled mechanic available, not all equipment details known, warehouse destroyed, customer details not complete","Not enough skilled mechanics, not enough mechanics, not enough parts, not enough capacity in warehouse",Specific skills required for the more expensive repair. More expensive parts necessary. Required more hours to work on the repair,"The sales person doesnt have enough knowledge about what parts are needed, or how many hours are required to complete the repair. Parts prices can fluctuate.",Larger warehouse needed. More skilled mechanics needed.,,,,,repairs;equipment;least;multiple;engines;equipment;repair;repair;code;rotations per minute;centrifugal;diameter;repaired;skilled mechanic;phone;fax;local;parts;addfress;part;supply;supplied;bins;part;bin;warehouse name;mechanics;skill;labour;skill;skill;experience;equipment;skilled;assigned;skilled;assign;repairs;equipment;hours;replaced;number;total;repair;calculated;,3,,5,7,8,7,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,,,,,FL_81,,FL_75|FL_59
2021-08-27 05:51:56,2021-08-27 07:05:05,IP Address,137.56.49.216,100,4389,True,2021-08-27 07:05:06,R_3hcjxfoflqZ171h,,,,,51.55670166015625,5.0789031982421875,anonymous,EN,20,Male,No,Neither low nor high,Somewhat high,Somewhat low,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,,Read,8.054,153.511,154.699,18,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,1.284,234.895,300.371,7,"not enough passenger/ No bus available, no bus driver intact",sick driver not mentioning its absence/ road accident/ delayed bus by any reason,the company sells more tickets than their capacity/ small bus arrived due to a mechanic problem with the previous (bigger) bus,every seat reservoired/ wife gave birth/ papa died,power of quantity/ people usually taking small tours rather than daily tours/ bigger= expensive,,,,,,6,1,1,6,5,1,4.176,116.369,119.691,16,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1.919,210.138,346.088,8,not skilled mechanic/diagnosing problem/went to a brothel,lack of mechanics/ lesser quality in repairs due to overwhelming demand,local customer/nepotism/ better bargaining skills/ equipment in better condition,google/ asking to an expert mechanic/ bargain,"skilled mechanics will be needed/ zero equipment data may cause unhappy customers/ more equipment can be repaired/ divide the current workpower/ ",,,,,,6,2,3,5,5,1,Somewhat agree,Strongly agree,Strongly agree,Disagree,Somewhat disagree,,,,,,FL_81,,FL_59|FL_75
2021-09-01 08:40:17,2021-09-01 08:43:47,Survey Preview,,100,209,True,2021-09-01 08:43:48,R_1f2uDBO1ZAAu72w,,,,,49.2154998779296875,-123.1427001953125,preview,EN,99,Prefer not to say,No,Very low,Very low,Very Low,No,No,No,No,No,No,No,No,No,No,,Read,4.028,17.57,19.17,12,No,No,No,No,No,No,No,No,No,No,No,No,3.197,3.197,12.68,1,A,A,A,A,A,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,1,1,0,0,0,0,3.301,16.989,18.54,12,No,No,No,No,No,No,No,No,No,No,No,No,3.641,3.641,7.408,1,A,A,A,A,A,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,1,1,1,1,1,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,FL_81,,FL_59|FL_75
