,condition,order,VB-yes-no,VB-problem-solving,VB-cloze,FE-yes-no,FE-problem-solving,FE-cloze
11,treatment,"['FE', 'VB']","[1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]","VB_P1                                                               rouds being blocked, not enough busses in use
VB_P2                                                        the was was in maintenance, the bus driver is absent
VB_P3    there were sold more thinkets than places, the passenger should recive a spot on the next available trip
VB_P4                                                    maybe the passanger is unvaccinated so they can t travel
VB_P5                               the purchase of the busses would provide more available trips for passangers 
Name: 33, dtype: object","[1, 1, 'passangers', 'diffrent ', 1, 1, 'boarding', 'reservation ', 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 'town', 'special', 1, 0, 0, 'phone', 'registered ', 1, 1, 1, 'motivation', 1, 'resons', 1, 1, 1, 1, 1, 1, 'repairs', 1, 1, 'maintanance', 'aver', 'problems', 'maintenance ', 0]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","FE_P1                                                                                       repair details tiket got lost, parts needed are not available right now 
FE_P2                                                           overwork for mechanics, too many parts needed, solution would be expanding and having more mechanics
FE_P3                                                                                 diffrent years of manufacture of the machines so diffrent prices for the parts
FE_P4    telling a higher estimated price,getting a closer look before etimating the price, letting the customer know in the moment the price changes along the way 
FE_P5                                                       the company would get a new type of customers, they would need to select specific information from them 
Name: 33, dtype: object","['services', 'repairs', 1, 'all', 1, 1, 1, 1, 1, 'RPM', 1, 1, 'checked ', 'mechanic', 1, 1, 1, 1, 1, 1, 'supply', 'are stored', 1, 'manufacture', 'bin', 'warehouse name', 1, 'special skills', 1, 1, 'information', 'experiance', 'parts', 1, 1, 1, 1, 0, 0, 1, 1, 'detailes', 1, 0, 0]"
12,control,"['FE', 'VB']","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0]","VB_P1                                                                                                            the trip is not part of a daily route segment
VB_P2                                                                          the passenger didnt provide all the mandatory information to do the reservation
VB_P3              the counter sold more ticket than there are, a passenger confused his date for another, a passenger stayed on the bus after their stop town
VB_P4                                                                there are no more available space in the bus, there are no bus going to the special event
VB_P5    more available slots means more passengers, new route segment, new destination for the daily trips, more maintenance problems, need of more employees
Name: 34, dtype: object","[1, 1, 1, 'different', 1, 1, 'passenger', 1, 1, 0, 1, 'passenger', 1, 'associated', 1, 'code', 0, 0, 'town', 'special', 1, 'all', 'trips', 1, 1, 'absence', 1, 'driver', 1, 'employee', 'reason', 'detail code', 1, 1, 1, 0, 1, 0, 1, 1, 1, 'total', 'problems', 1, 'repair']","[0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0]","FE_P1                                                                                                                                                                                                            itś time consuming, the part are not there yet
FE_P2                                                                                                                                                                                                                     the original part is not good quality
FE_P3                                                                                                                                                                                                                     the damage was heavier on his machine
FE_P4    the manufacturer ran out of the part,the cost of transportation got higher, the repair was heavier than expected, the number of hour spend on the repair was longer, the skill needed to repair was hard, they needed multiple mechanics for on repair
FE_P5                                                                                                                                                                                                    the skills for mechanics might be mandatory to provide
Name: 34, dtype: object","[0, 'parts', 'least', 0, 0, 'machine', 1, 'mechanic', 0, 0, 0, 0, 'stored', 'warehouse', 1, 1, 0, 1, 1, 0, 0, 'stored', 0, 0, '#', 'warehouse name', 1, 'repair', 1, 1, 0, 1, 'customers', 0, 1, 0, 'help', 0, 0, 1, 'number', 'detail', 1, 0, 0]"
13,treatment,"['FE', 'VB']","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","VB_P1                                                                                                                                                                                         It was not logistically possible to run such trip, as the route segments did not make much sense in terms of passengers demand. There are not enough buses in use to accommodate such trip.  
VB_P2    The number of buses in use at the time of the trip were lower than the number of buses in use when the trip was scheduled 4 months in advance, the bus that was supposed to be used for the trip is now in maintenance, the bus meant for this trip is now being used for a trip comprising of different route segments. This also may have been caused by an absense of a driver.
VB_P3                                                 There was a large number of passengers with reservations, so not all those without a reservation who were hoping to board the bus managed to grab a seat after arriving to the station, as the capicity of the bus was full / in other words, more people without reservation showed up than the seats without reservation available 
VB_P4                                                                                                                                                                                                                         This may have been cause but absence in drivers or too many buses in maintenance, due to which the trips had to be cut short or the routes had to be changed.
VB_P5                                                                                                                                                                                                                                   These buses have lower capacity, therefore a scenario from question 3 may occur (less seats available than passengers interested in taking the bus)
Name: 35, dtype: object","[1, 1, 1, 1, 1, 1, 'available', 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 'town', 'special', 1, 1, 1, 'emplyee', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'experienced', 1, 'probles', 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]","FE_P1                                                                                                                                                                                             There were not enough skilled mechanics available for repairing such machine, the aiting list for repairs was too long /the waiting time was too long, not enough repair parts were supplied
FE_P2                                                                                                                                                                                                                                                             They might have more machines to repair and not enough skilled mechanics or not enough parts supplied in time for the repair
FE_P3    Their machines may have been similar but their slight difference or the difference in their condition may have caused the price difference. The price may have been determined by the mechanic who worked on the repair and their level of skills. The parts needed for the repair of one machine may have been more expensive than those needed for the repair of the other machine.
FE_P4                                                                                                                                            Supply of the parts from different manifacturers may vary in prices, the condition of the machine and the level of repairs needed may not be correctly estimated, the number mechanics needed may be higher and therefore the job costs more.
FE_P5                                                                                                                                   The machine would be stored in the warehouse, skilled mechanics would assign which repairs are being done by the machine and how many can be repaired using such machine, what information is needed and needs to be provided when using this machine.
Name: 35, dtype: object","[1, 1, 1, 1, 1, 1, 1, 1, 'number', 1, 1, 1, 'repaired', 'skilled mechanic', 1, 1, 1, 1, 1, 'supply', 'supply', 0, 'order', 0, 'bin', 'warehouse name', 1, 1, 1, 1, 1, 1, 'machine', 1, 1, 1, 1, 'repairs', 'machine', 1, 1, 'number', 1, 1, 1]"
14,control,"['VB', 'FE']","[1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0]","VB_P1                                                                                                                                                                                                           not enough buses, number of passengers too low, too many avg. daily kilometers, too much time spent for the driver
VB_P2                                                                                                                                                                                                                                                                        all buses are in maintanance, all drivers are abscent
VB_P3                                                                                                                                                                                                               all seats have been reserved in advance so there is no seat free, there where too many spontainious passangers
VB_P4                                                                                                                                                                        all availible places on the bus have been sold out, the trip has been cancled due to an abscent driver, the trip has been cancled due to a broken bus
VB_P5    the company can offer more tours, the company can hire more drivers, the average kilometer counter will increase, there will be increased maintanance costs, the number of daily trips can increase, the company might have to assign more route segments since there can now be more possible routes (a day or per week)
Name: 36, dtype: object","[1, 'interest', 1, 1, 1, 1, 1, 'travel', 1, 1, 1, 1, 1, 'comprised', 1, 1, 'many', 1, 'town', 'special', 1, 1, 'route', 1, 1, 'abscent', 'abscent', 'abscence', 'abscence', 'bus', 1, 'abscence', 1, 1, 1, 1, 'maintanance', 'maintanance', 1, 1, 'maintanance', 1, 'problems', 'service', 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","FE_P1                      parts needed for repair are missing, no mechanic with sufficient skill is avalible, a stored part cannot be found, the assignment of the machiene to the customer has been done wrong so the machine has been fixed but shipped back to the wrong customer
FE_P2                                                                                                                a shortage in parts needed to repair them,  a lack of mechanics needed to fix the machines, the facilities of far eastern are too small to handle all the orders
FE_P3                                            if the machines where from different manufacturers then the difference might stem from a diference in price for the replacement part, maybe the work required to fix one machine was greater than for one machine than for the other
FE_P4    time needed to repair a machine, avalability of replacement parts and their price, the cost of labour might change, organisational work might be higher than expected when something goes wrong, transportation might turn out more expensive due to increases in oil prices
FE_P5                                                                                                                    new category for machine type, new categories for engine diameter, new parts need to be ordered and organized in the warehouse, bin number might be affected
Name: 36, dtype: object","[1, 1, 1, 'many', 1, 1, 'repairment', 1, 1, 'maximum rotations', 1, 1, 1, 1, 1, 1, 'regional', 1, 1, 1, 1, 'location', 'bin', 1, 'bin', 'description', 'warehouses', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'tasks', 1, 1, 1, 'total cost', 'average', 1, 'finished']"
15,control,"['VB', 'FE']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","VB_P1                                                                                                                                                                              there might be no drivers available, 
VB_P2                                                                                                                                              All buses might have maintance problem, all drivers might be absence.
VB_P3    The waiting passanger might doesnt have previous reservation and so the limit was reach. The bus driver let passangers without reservation enter first so passangers without reservation could not participate.
VB_P4                                                                                                                                                                       No drivers or/and driver might be available.
VB_P5                                                                                        Previous buses had many maintance problems. Maintance costs of old  buses was high. The buses might be too hard to repair. 
Name: 37, dtype: object","[1, 1, 'passangers', 1, 1, 1, 'empty', 1, 0, 1, 'While', 'The', 1, 0, 0, 0, 1, 1, 'town', 'special', 'driver', 1, 'trips', 1, 1, 'absence', 'absence', 'absance', 'absance', 1, 1, 'absance', 1, 1, 1, 1, 'maintance', 'maintance', 'maintance', 1, 'solved', 'avarage', 'problems', 'maintance', 1]","[1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1]","FE_P1                                                                                                                All mechanics might be occupated. Require parts might not be available in warehouse storage or might not came from manufacture.
FE_P2                                                                                                                                    They might do not have enought mechanics to work and/or there might not be enought needed parts in sotrage.
FE_P3                                                                             One repair might take longe hours, or might require more experienced mechanics. For one repairment thay might use stored parts that were cheapr than manufactured.
FE_P4    It is hard to predict: how many hours will it take, how many mechanic will be needed and if required parts will be availabe in storege or will they have to buy new ones. Also it is not know how many parts will be require and what kind.
FE_P5                                                                                                   They could replace mechanic with this new machine for some repairments. Repair details will change because mechanic name will not be needed.
Name: 37, dtype: object","['repairment', 0, 'lowest', 'different', 1, 1, 'repairment', 'machine', 1, 0, 'all', 1, 0, 1, 1, 1, 0, 0, 'name', 'working', 0, 'store', 'different', 1, 'bin', 'warahouse name', 1, 0, 1, 1, 'it', 1, 1, 1, 1, 1, 'aks', 0, 'repairment', 1, 1, 0, 'avarage', 'given', 'collected']"
16,treatment,"['FE', 'VB']","[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]","VB_P1                                                                                                                         The trip is not really exciting. The costs are to high. Not enough busses/drivers.
VB_P2                                                 Scheduling mistake. Bus had maintenance problems on way. Bus showed up but late because of the traffic. Driver got sick and nobody else could replace him.
VB_P3                                                                                                                                            Planning mistake. in the bus is somebody who shouldnt be there.
VB_P4    Due to pandemic special event is not going on. Person has some medical issues which eliminates this person from special trip. Not enough people want to participate in special event to make it happen.
VB_P5                                                                                       Voyager can do more trips. They will get new logistic capacities. Perhapse reduction of the costs for smaller trips.
Name: 38, dtype: object","[1, 'trips', 'everybody', 'several', 1, 1, 'avaible', 1, 1, 1, 1, 1, 'start ', 0, 'daily', 'trip', 1, 1, 'town', 'special', 1, 1, 1, 1, 1, 1, 1, 1, 1, 'bus', 1, 'code', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'problems', 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0]","FE_P1                                                                                          The part damage is super complicated. skilled mechanic is currently sick. The required part is not avaible now. Its a cristmas time and we dont work.
FE_P2                                                                                                    Not sufficient number of mechanics. To small working surface. To small warehouse. Increase of the ammount of working hours.Logistic issues.
FE_P3    Machines was very simillar but not identical. Far Eastern rised the prices. One customer has been cheated. Supplyer rised his prices so Far Eastern also. Due to pandemic everything is more expensive. There has been mistake in charging.
FE_P4                                                                                                                 The estimation is indeed very difficult. The sales person is not skilled enough. Mistakes happens. Market prices are changing.
FE_P5                                                                                      Far Eastern would need skilled mechanic who can use this machine. They could start reairing new kind of engines. Possibly increase income of the company.
Name: 38, dtype: object","[1, 'parts', 'smallest', 'all', 1, 'part', 1, 1, 1, 'Macine type', 'reciprocating ', 1, 'repaired', 'mechanic', 1, 1, 1, 1, 'addres', 'supplyed', 'supply', 'stored', 1, 'warehouse name', 'bin', 'number', 1, 'name', 1, 1, 1, 1, 'part', 1, 1, 1, 1, 'repair', 'equipment', 1, 0, 0, 1, 0, 0]"
17,control,"['VB', 'FE']","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1]","VB_P1                                                                                                        Not consisting in the route segment. 
VB_P2                                                                                  No reservations were made. Scheduled bus is in maintenance.
VB_P3    Boarding pass was given in the gate eventhough all seats were already full. If the bus changed and the capacity is lower for the new one.
VB_P4                                                                             Person might not be in the start town.Capacity is already full. 
VB_P5                                                 More maintenance costs if they break down. More numbers in daily trips can also be achieved.
Name: 39, dtype: object","['transportation', 1, 1, 1, 1, 1, 'available', 1, 1, 1, 1, 1, 1, 'considered', 1, 1, 1, 0, 'town', 'special', 1, 'All', 1, 1, 1, 1, 1, 1, 1, 1, 'explanations', 1, 1, 1, 'All', 'daily trips', 1, 'in', 1, 1, 1, 1, 'problems', 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]","FE_P1                                                                          wasnt assigned tp a ,ecjamoc. Unskilled mechanic is working on it which takes more time.
FE_P2    Lack of workforce. Either warehouses or bins being full capacity. Not enoug parts to repair the products or the manufacturer cant provide the requested parts.
FE_P3          Mechanic had higher years of experience or a skill that the other does not have. Amount of time spent on the repair was higher for the expensive repair.
FE_P4                                                  Replacing sales person with a mechanic. Not giving precise times and letting the customer know after evaluation.
FE_P5                                                         Maintenance for the machine and acquiring parts for it. Repair costs if necessary. Unmotivated mechanics.
Name: 39, dtype: object","[1, 'goods', 1, 1, 1, 1, 1, 1, 1, 'r... per minute', 1, 1, 1, 1, 1, 1, 1, 1, 1, 'supplying', 'store', 0, 1, 0, 'bin', 'warehouse name', 1, 1, 'cost', 1, 'also', 1, 1, 1, 1, 1, 1, 'repair', 'details', 1, 1, 'number', 1, 1, 1]"
18,treatment,"['VB', 'FE']","[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1]","VB_P1                                                                                                                                                                             Maybe all the busses were alredy in use for the proposed day. Or it could be that the driver in question has been assigned to other trips or daily trips and there were no other drivers available to complete the proposed trip.
VB_P2                                                                                                                                                                                                                                                                                                   Maybe all the busses had experienced problems in that exact day, therefore not being able to arrive on time
VB_P3    The passenger that is waiting could have hoped to get a ticket at the moment of boarding, bur unfortunately all of the seats have already been reserved beforehand. Or it could be that there has been a mistake and someone without a reservation has already boarded the bus, eventho all the places have been filled and now the person standing outside, eventhough he has a reservation, is left out.
VB_P4                                                                                                                                                                                                                                                                                                                         It could be that the buss is completely booked and there are no more available seats.
VB_P5                                                                                                                            On the one hand, if the busses previously used were larger, that would result in less available places for passengers on the bus. On the other hand, the busses being new, there yould be a lower probability for them to experience problems that would require additional costs.
Name: 40, dtype: object","[1, 1, 'customers', 1, 1, 'bus', 1, 'reservation date', 'boarding date', 1, 1, 1, 1, 'associated', 'route route', 1, 1, 1, 'town', 'special', 'daily trips', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'details', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'experienced problems', 'maintenence', 1]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0]","FE_P1    It could be that there were not enough mechanics that were skilled in thet particular repair available so they could mot divide the tasks and therefore the repair time has risen. Or it could be that the parts required were not in the warehouses anymore and the suppyer took a long time to send them.
FE_P2                                      They could run out of parts in the warehouse and therefore need to wait for long periods of time. Or there could be a shortage in mechanics because all of them would be working on othe repairs, and some customers could become frustrated for the long wait and leave.
FE_P3                                                                                                 Even tho the machines were similar, the parts that needed to pe changed or repaired could have a different cost. Or, maybe one of the machine suffered bigger damage and needed more mechanics for its repair.
FE_P4                                                                                                                          It is possible that at a first glance, the mechanics to observe only a little part of what actually needs to be reapired. In this case, both the reparation time and cost could rise.
FE_P5                                           There would need to be another entity box added, as the repair machine. That should be linked to the whole data structure. Also, it could be the case that the company will not need that many mechanics anymore, so that would probably determine a change as well.
Name: 40, dtype: object","[1, 'parts', 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'part', 'supply', 0, 1, 1, 'bin', 'warehouse name', 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 'tasks', 1, 1, 'changed', 'number', 1, 1, 1]"
19,treatment,"['FE', 'VB']","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1]","VB_P1         their is no bus available, the route is not safe, their is no-one who would want to go on that trip, their is something wrong with the route, their are too many busses in maintenance, the boss is anoyed by the employee
VB_P2    there is something wrong with the bus driver, the bus driver was not well informed, the information got stuck somewhere in the process, the bus has problems, something has happened with the bus or the driver on its way over
VB_P3                                                                                     there could have been to many passengers without reservations that are already in the bus, some people sneeked in, their are some fake tickets
VB_P4                                                           maybe he is sick, he is not feeling well enough to go on a bus trip, the bus could be full, the passenger cannot buy a ticket, the passenger was rude towards the driver
VB_P5                                                             the chain would become bigger because their would be more drivers needed, more passengers, more people who can do the maintenance, more storing places, more trips etc
Name: 41, dtype: object","[1, 1, 'low prices', 'multiple', 1, 'bus', 'available', 0, 'special', 0, 1, 'the', 1, 0, 0, 0, 1, 'daily', 'town', 'special', 'number', 0, 1, 'phone number', 1, 'bus', 0, 0, 'driver', 'bus', 'description', 0, 1, 0, 0, 0, 1, 0, 'registration', 1, 'bus', 'mainenance', 'problems', 0, 'registered']","[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0]","FE_P1                                                                                                                                                                                                                                     someting within the process, like the repairing itself, or their is a problem with a part that is required for the repairing
FE_P2                                                                                                                                                                                                                                 A lack of mechanic / skilled mechanics, but also not enough parts, not enough storage in the warehouse, not enough suppliers etc
FE_P3                                                                                  It could have taken longer because of the delivery of a special part that was needed for the repair. It could have been a newer version of the machine or maybe a skilled mechanic and a normal mechanic worked on the repair of the machines and their salary is different etc
FE_P4    You cannot know the process beforehand. So, when the estimated price is settled a lot can go different. Like the time it takes to do the repair, the people that work on it, something could go wrong with a supplier, a part that is needed can break or could be the wrong one which would all cause delay in the process which would make the price higher
FE_P5                                                                                                                                                               There would be a bigger chain of people that are needed, their would be a need of new suppliers and new mechanics, a bigger warehouse and a lot more parts. But it would also cause more customers
Name: 41, dtype: object","[0, 0, 'soonest', 1, 'pumps', 1, 1, 0, 0, 0, 1, 1, 'repaired', 'skilled mechanic', 1, 'fac', 1, 'supllies', 1, 'supply', 'store', 0, 'places', 'name', 0, 0, 0, 'skilles', 1, 1, 1, 0, 'a pump', 1, 'going', 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
20,control,"['VB', 'FE']","[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1]","VB_P1                           The bus has maintenance problems, the driver is absent, 
VB_P2                                bus have maintenance problems, the driver is absent
VB_P3    passenger is waiting for the wrong bus, a reserved seat is sold to someone else
VB_P4                                                                    the bus is full
VB_P5                                          not enoguh buses that is working properly
Name: 42, dtype: object","['travelling agency', 1, 1, 'many', 1, 0, 'empty', 'boarding', 'reservation', 1, 1, 1, 'starting', 'classified ', 'daily route', 0, 'two', 'a daily', 'town', 'special', 0, 1, 1, 1, 1, 1, 1, 1, 'situation', 'bus', 'details', 1, 1, 1, 1, 0, 1, 'maintenace', 1, 1, 1, 'maintenance', 'problems', 0, 0]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]","FE_P1                                                             there is no parts for it yet
FE_P2                                             lack of parts, lack of experienced mechanics
FE_P3    Difference in volume, hours put in to work, parts replaced might be different in cost
FE_P4          hours put into work, parts needed for repair might have been more than expected
FE_P5                                                         mechanics needed might differ,  
Name: 42, dtype: object","[1, 'parts', 'lowest', 'any', 1, 1, 'repait', 1, 1, 0, 1, 1, 0, 'mechanic', 1, 'Phone', 1, 1, 'equipment', 0, 'store', 'collected', 0, 'manufacturer', 'bin', 'warehouse number', 1, 1, 1, 1, 0, 1, 1, 1, 1, 'experienced', 1, 0, 0, 'price', 0, 1, 1, 1, 'stored']"
21,control,"['FE', 'VB']","[1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1]","VB_P1                                                                                                                   There are not enough bus drivers available. There are not enough buses available. It is too far away from the towns where they operate. 
VB_P2                                                                                                             There were maintainance problems with the bus. They did not have enough bus drives because there were a few absent. They got stuck in traffic.
VB_P3                                                                                The passenger did not make a reservation. Too many people showed up without a reservation. The reservations were not collected properly. The passenger takes the wrong bus.
VB_P4                                                                                                                 The person did not make a reservation. Reservations were already full. The passenger is on the wrong trip or route. The trip is cancelled.
VB_P5    There will be less problems and repairs because they are new buses. More people can make a reservation or board without reservation. More daily trips can be planned. They can provide more rides on the daily routes. They will need more bus drivers.
Name: 43, dtype: object","[1, 1, 1, 1, 1, 1, 'empty', 1, 1, 'both', 1, 1, 1, 1, 1, 1, 1, 1, 'town', 'special', 1, 1, 1, 1, 1, 'the absence of', 1, 1, 1, 'bus', 1, 'details', 1, 1, 1, 1, 'maintainance', 'maintainance', 1, 1, 'maintainance', 1, 'problems', 'maintainance', 1]","[1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]","FE_P1    They need more hours to work on the repair. There are not enough mechanics available to work on the repair. Something went wrong with assigning the repair. Parts that need to be replaced are not there yet. Parts are stored wrong in the warehouse so it takes longer to find them. They found multiple things to repair so it takes more time. 
FE_P2                                                                                                                                                                                                                 Not enough mechanics. Shortage of parts. Too little space in the warehouse. Unsatisfied customers because repairs are taking too long.
FE_P3                                                                                                                                                     Different parts were replaced (which means different costs). Multiple mechanics needed to work on the machine. Maybe one of them needed to be repaired more urgent so they charged more for that. 
FE_P4                                             You do not know beforehand if you might find other things that need to be repaired. Manufacturers can change their prices for parts as well. It is hard to estimate the time of the repair. Mechanics with more skills might be faster than mechanics without the same skills and/or years of experience. 
FE_P5       The new machine will replace some of the mechanics and their skills. Different parts are needed to be stored in the warehouse. The machine itself also needs maintainance, and you need parts for that as well. You might need different manufacturers for it. The total cost of repairs might change. Also the time of the repair will change. 
Name: 43, dtype: object","[1, 1, 1, 'multiple', 1, 1, 1, 1, 1, '... per minute', 1, 1, 'looked at', 'mechanic', 1, 'Telephone', 'billing', 1, 'adress', 'spare parts', 'supply', 'they receive', 1, 1, 'bin', 'warehouse name', 1, 1, 1, 1, 1, 1, 'a customer', 'experienced', 1, 'experienced', 1, 'help', 1, 1, 1, 1, 1, 1, 'billed']"
22,treatment,"['VB', 'FE']","[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0]","VB_P1                  it contain to much plan to manage a new trip; the employee should also modify the schedule of the bus to contain this trip; 
VB_P2                           no one contact to the bus; they didn´t have a schedule for them; bus may have their normal scheduled so no bus came
VB_P3                                      they do not plan a better solution for the suitable bus and did not think about the number of the people
VB_P4                                                                                           the person may forget to bring his boarding ticket;
VB_P5    the effects might be a pozitive one, th Voyager Bus may have more variants for passengers to get a trip; they would get more trips per day
Name: 44, dtype: object","['tour', 'trip', 1, 1, 1, 1, 0, 1, 1, 'reservated', 1, 'daily trips', 1, 'daily route', 1, 'trip', 'n', 'daily', 'town', 'special', 1, 'board', 1, 1, 'shown', 1, 1, 1, 'drivers', 1, 'details', 1, 1, 1, 1, 'maintenance', 1, 1, 'date', 'despriction', 'experiences', 1, 'experienced problems', 'maintenance problem', 'repaired']","[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]","FE_P1                                                   the repair details may be insuficient; the customer detail may be wrong, he could add his phone number to make sure his machine could be repair
FE_P2                                                             the machine can only repair for one equipment,and a machine may have a number of repair problems thus, the time may cause a problem. 
FE_P3                        their equipment used in their machines may have different costs even they have similar machines; the parts that one should repair may cost a higher price for one customer
FE_P4                                                                                                                    they should consider the requiring partsś price, Warehouse and the manufacture
FE_P5    the price would be affected by the new machine, it would be more expensive than before; they need more equipments for the new machine it may be more efficent to repair a large turbine engine
Name: 44, dtype: object","[1, 1, 'efficent', 'equipment', 1, 'facility', 1, 1, 'manufactured code', 'machine type', 1, 1, 'own', 1, 1, 1, 1, 1, 1, 'supplyed', 'supply', 'stored', 'bin', 1, 'bin', 'warehouse name', 1, 'name', 1, 1, 'mechanic', 1, 'customer', 1, 'assign', 1, 1, 'repair', 'repair details', 'repair', 'reokaced', 'number', 1, 1, 'finish']"
23,treatment,"['FE', 'VB']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","VB_P1    there are not enough buss to use them for a new trip,There are not enough buss driver to have another rout, The are not enogh passangers taking that rout,
VB_P2                                                                                The bus was in maintenance, the bus driver was not assign, no ticket were sold
VB_P3                                                    to many people bought the ticket, someone is in the wrong bus, someone in the bus does not have the ticket
VB_P4                                                                             there are not any more spaces, the trip has been canceled for maintanance problem
VB_P5                                       the rout might need to change, the direver have to practice to drive eith the new bus, the amount of seats might change
Name: 45, dtype: object","['trip', 1, 'passangers', 1, 'reservetion', 1, 'empty', 1, 1, 1, 1, 1, 1, 'estabilished', 0, 'rout', 1, 1, 'town', 'social', 1, 0, 1, 1, 1, 1, 0, 'absent', 0, 0, 'absent details', 'description', 0, 'kilometer', 1, 1, 'maintanance', 'repairs', 1, 0, 0, 'avarage', 'problems', 'mantainance', 1]","[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]","FE_P1                                            There is not a suitable mechanic, it can not be repair, the pieces to change are hard to find
FE_P2                                                 Not enough parts, not enogh machanic, they would need largere facility and more employee
FE_P3    Different type of material repaired, different machanic with a different qualification, different city with different standard price.
FE_P4                          more time is needed to repair, more pieces are broken than anticipated, need to import materials for the repair
FE_P5       it will have a higher price to compansate the initial investimnt, less mechanic will be needed but more thecnichan for the machine
Name: 45, dtype: object","[0, 0, 'less', 'different', 0, 'machine', 1, 'repair ', 1, 'machine type', 1, 1, 'assigned', 0, 'name', 1, 1, 1, 'adress', 0, 'supply', 'stored', 'bin', 1, 'bim', 'repair details', ' ', 1, 1, 1, 0, 1, 'parts', 'assigned', 0, 'assign', 0, 0, 'Far Eastern Repair Facility', 1, 'cost', 1, 1, 0, 0]"
24,control,"['FE', 'VB']","[0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]","VB_P1                                                         no drivers are available for the trip, also no buses.  
VB_P2                                                                       absence of a driver, maintenance problems
VB_P3                                                                                           to repair another bus
VB_P4                                             because it is not included in the route, not enough time to stop by
VB_P5    they will need more drivers, more potential maintenance problems, increased number of daily routes and trips
Name: 46, dtype: object","[1, 1, 1, 'multiple', 1, 1, 0, 1, 1, 'all the', 'The phone', 'Each', 1, 0, 1, 0, 1, 1, 'town', 'special', 1, 'A', 1, 1, 'stored', 1, 1, 1, 1, 1, 'details', 1, 1, 'average daily kms', 1, 'trips', 'a maintenance', 'it', 'maitenance', 1, 'occured', 'average ', 'problems', 0, 1]","[1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","FE_P1            Did mot find a needed part for the repair, there was not an available mechanic to repair the car
FE_P2                                                                          Not enough parts, not enough staff
FE_P3    probably a mechanic worked on the other for more hours, a part supplier increased a price for some parts
FE_P4         The amount of repairs needed, labour rate were poorly considered while estimating the total costs. 
FE_P5         it might increase a repair rate, so a machine would get repaired much quicker, more customers too. 
Name: 46, dtype: object","['the repair', 1, 'least', 'machine', 1, 0, 0, 0, 1, 'repairs per minute', 'reciprocating', 1, 'repaired', 'mechanic', 'a phone', 1, 'business', 0, 1, 'part', 'store', 'stored', 1, 1, 'bin', 'warehouse name', 1, 1, 1, 1, 1, 1, 'parts', 1, 'asked', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
